Name,Address,Phone,Emails,Website
senti senti,"81 Mott St FRNT 2, New York, NY 10013, USA",(718) 496-8163,user@gmail.com,http://www.sentisenti.com/
JG Melon,"1291 3rd Ave, New York, NY 10021, USA",(212) 744-0585,,http://jgmelon-nyc.com/
Kaki,"129 Rivington St, New York, NY 10002-2361, USA",(646) 568-8859,,
Peppercorn Station 青花椒 纽约,"66 W 39th St, New York, NY 10018, USA",(646) 490-5444,peppercornstation@gmail.com,http://www.peppercornstation.com/
Sweet Cake,"137-06 Northern Blvd, Flushing, NY 11354, USA",(929) 329-0666,,https://www.instagram.com/sweetcakenewyork/
Ba Xuyên,"4222 8th Ave, Brooklyn, NY 11232-3904, USA",(718) 633-6601,,https://orderbaxuyen.com/
Xie Bao Flushing 蟹寶,"133-35 Roosevelt Ave, Flushing, NY 11354, USA",(917) 563-1011,,
Karczma,"136 Greenpoint Ave, Brooklyn, NY 11222-2202, USA",(718) 349-1744,info@karczmabrooklyn.com,http://karczmabrooklyn.com/en/
Angel,"7414 37th Rd, Queens, NY 11372, USA",(347) 848-0097,,https://angelindianqueens.com/
Little Bull,"810 N Mangum St, Durham, NC 27701-2260, USA",(919) 251-8989,info@littlebullnc.com,http://littlebullnc.com/
OKONOMI / YUJI Ramen Manhattan,"36 W 26th St, New York, NY 10010, USA",(347) 271-1601,,https://www.okonomi.us/
TONCHIN NEW YORK,"13 W 36th St., New York, NY 10018, USA",(646) 692-9912,info@foodexny.com,https://tonchinus.com/
Bengal Tiger,"234 W 56th St, New York, NY 10019, USA",(212) 265-2703,,http://www.bengaltigerindianfood.com/
Maxi's Noodle,"135-11 38th Ave, Flushing, NY 11354, USA",(917) 908-0808,,http://www.maxisnoodle.com/
Red Hook Tavern,"329 Van Brunt St, Brooklyn, NY 11231, USA",,,http://www.redhooktavern.com/
Double Chicken Please,"115 Allen St, New York, NY 10002-2970, USA",,takochang@doublechickenplease.com info@doublechickenplease.com,http://www.doublechickenplease.com/
Semma,"60 Greenwich Ave, New York, NY 10011-8307, USA",,press@uafoods.nyc hello@semma.nyc,http://semma.nyc/
Duo Cafe,"223 E 5th St, New York, NY 10003-8512, USA",(646) 454-0603,,
Bullock's Bar-B-Cue,"3330 Quebec Dr, Durham, NC 27705-3029, USA",(919) 383-3211,,http://www.bullocks-bbq.com/
Hashi Market,"330 5th Ave, New York, NY 10001, USA",,,http://www.hashimarket.com/
Teazzi Tea Shop,"47 W 14th St #3, New York, NY 10011, USA",(917) 268-1999,nyc@teazzi.com,http://www.teazzi.com/
Daesung korean Noodle,"45-04 162nd St, Flushing, NY 11358, USA",(718) 460-0088,,https://daesungkoreannoodle.site/
Rolo’s,"853 Onderdonk Ave, Ridgewood, NY 11385, USA",,info@rolosnyc.com,http://www.rolosnyc.com/
Brooklyn Ball Factory,"95 Montrose Ave, Brooklyn, NY 11206-2007, USA",(718) 387-5296,,https://www.brooklynballfactory.com/
Rowdy Rooster - East Village,"149 1st Ave, New York, NY 10003-2930, USA",(646) 609-2804,press@uafoods.nyc hello@rowdyrooster.com events@uafoods.nyc,http://www.rowdyrooster.com/
China Palace Restaurant,"5210 Garrett Rd, Durham, NC 27707-3450, USA",(919) 493-3088,,https://chinapalacenc.com/
Dialogue Coffee & Flowers,"188 Allen St, New York, NY 10002, USA",,dialogue@idleflora.com hi@dialogue.nyc,https://dialogue.nyc/
La Nueva Victoria,"2536 Broadway, New York, NY 10025-6946, USA",(212) 865-1810,,
Nōksu,"49 W 32nd St, New York, NY 10001, USA",(626) 657-8420,steven@hallpr.com info@noksunyc.com reservations@noksunyc.com,https://noksunyc.com/?SEO_id=GMB--R-NYCCUQQ-2&y_source=1_MTA0NTQ1Mjg1MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
1 golden pancake,"13515 40th Rd #4, Flushing, NY 11354-5301, USA",(929) 991-6966,,
Steve's Authentic Key Lime Pie,"185 Van Dyke St, Brooklyn, NY 11231, USA",(718) 858-5333,,https://keylime.com/
Negril BK,"256 5th Ave, Brooklyn, NY 11215, USA",(347) 721-3801,,https://www.negrilbk.com/
Friendship BBQ,"136-76 39th Ave, Flushing, NY 11354, USA",(347) 542-3909,yangsong1201@gmail.com,https://www.friendshipbbq.com/
Spiga Restaurant,"57 W 84th St, New York, NY 10024, USA",(212) 874-0008,spigarestaurantnyc@gmail.com,http://spigarestaurantnyc.com/
King's Sandwich Shop,"701 Foster St, Durham, NC 27701-2110, USA",(919) 682-0071,,https://kingssandwichshop.com/index.html
Lhasa,"177 1st Ave, New York, NY 10003-2927, USA",(917) 388-2230,,
ad hoc : cafe,"13 Christopher St, New York, NY 10014, USA",(646) 504-6864,,http://www.adhoccollective.com/
Corner 28,"135-24 40th Rd, Flushing, NY 11354-5302, USA",(718) 886-6628,,
Soft Swerve - JACX&CO,"24-17 Jackson Ave, Long Island City, NY 11101, USA",(929) 510-7004,info@softswervenyc.com,https://softswervenyc.com/
超力福州美食 No.1 Super Snack Inc. - Fuzhou Snacks,"4128 Main St, Flushing, NY 11355, USA",(646) 546-2353,,
New York City Bagel & Coffee House,"40-05 Broadway, Astoria, NY 11103, USA",(718) 728-9511,micah@micahrich.com,https://nycbch.com/
Handsome Rice,"133 E 31st St, New York, NY 10016, USA",(917) 965-2944,handsomericenyc@gmail.com,http://www.handsomerice.com/
KIMCHI RED - ALPHARETTA,"3630 Old Milton Pkwy #110, Alpharetta, GA 30005, USA",(470) 336-7222,kimchired.alpharetta@gmail.com kimchired.johnscreek@gmail.com,https://kimchiredusa.com/
Tao Hong,"79 Chrystie St, New York, NY 10002, USA",(212) 219-0981,,
Golden Steamer,"143A Mott St, New York, NY 10013, USA",(212) 226-1886,,
CHILI,"13 E 37th St, New York, NY 10016-2821, USA",(646) 882-0666,operation@chilinyc.com,https://www.chilinyc.com/
Yagg Sii Tenn Authentic African Cuisine,"1440 Chapel Ridge Rd ste 170, Apex, NC 27502, USA",(919) 629-4047,yaggsitenn@gmail.com wdesign@wzuser.com,http://www.yaggsitenn.com/
Saigon Shack,"114 MacDougal St, New York, NY 10012-1245, USA",(212) 228-0588,saigonshack114@gmail.com,http://saigonshack.com/
303 In the Cut,"4120 Spring Mountain Rd, Las Vegas, NV 89102, USA",(702) 786-7278,,http://303inthecut.com/
Mystique Boutique NYC,"491 Broadway, New York, NY 10013-4412, USA",(212) 925-8290,,http://www.mystiqueboutiquenyc.com/
Haile,"182 Avenue B #1, New York, NY 10009-3626, USA",(212) 673-8949,,http://hailecuisine.com/
Beacon,"Beacon, NY 12508, USA",,,http://www.cityofbeacon.org/
Dallas BBQ Times Square,"241 W 42nd St, New York, NY 10036-7201, USA",(212) 221-9000,,https://dallasbbq.com/
Bushwick,"Bushwick, Brooklyn, NY, USA",,,
Fay Da Bakery,"321 6th Ave, New York, NY 10014-6926, USA",(212) 255-9888,info@fayda.com ninfo@fayda.com info@stagheaddesigns.com orders@fayda.com,http://www.fayda.com/
Ozakaya,"635 Vanderbilt Ave, Brooklyn, NY 11238-3805, USA",(929) 456-5956,,http://www.ozakaya.com/
Hou Yi Hot Pot,"92 Hester St, New York, NY 10002, USA",(212) 966-3420,,https://houyihotpotnewyork.mybistro.online/
Peaches HotHouse,"415 Tompkins Ave, Brooklyn, NY 11216, USA",(718) 483-9111,,http://www.bcrestaurantgroup.com/hothouse
Falafel Tanami,"1305 E 17th St, Brooklyn, NY 11230, USA",(718) 483-9100,,http://www.falafeltanami.getsauce.com/?utm_source=GMB&utm_medium=Website%20button&utm_id=Falafel%20Tanami
Yummy Noodle House,"33-35 Francis Lewis Blvd, Flushing, NY 11358, USA",(718) 888-7848,yummynoodlehousenyc@gmail.com,https://yummynoodlehousenyc.wixsite.com/home
Fette Sau,"354 Metropolitan Ave, Brooklyn, NY 11211, USA",(718) 963-3404,fettesaubbq@gmail.com,http://www.fettesaubbq.com/
Kopitiam,"151 E Broadway, New York, NY 10002, USA",(646) 609-3785,hello@kopitiamnyc.com email@email.com,https://www.kopitiamnyc.com/
San Matteo Pizza & Espresso Bar,"1716 2nd Ave, New York, NY 10128-3502, USA",(212) 426-6943,,http://sanmatteomenu.com/?utm_source=gbp
Coffee Project New York | Hell's Kitchen,"401 W 53rd St, New York, NY 10019, USA",(917) 388-2268,,http://www.coffeeprojectny.com/
Fu Zhou Wei Zhong Wei Jia Xiang Feng Wei,"88 E Broadway, New York, NY 10002-6017, USA",(212) 431-3555,,
Arepa Lady Astoria,"34-39 31st St, Queens, NY 11106, USA",(347) 396-5300,,https://www.thearepalady.com/
Cauldron Chicken,"190 Bleecker St, New York, NY 10012-1433, USA",(646) 869-8888,,
Sagara food city,"98 Victory Blvd, Staten Island, NY 10301, USA",(718) 285-4556,,
Jua,"36 E 22nd St, New York, NY 10010, USA",(646) 590-1598,,http://www.juanyc.com/
Momosan Ramen & Sake,"342 Lexington Ave, New York, NY 10016, USA",(646) 201-5529,,http://momosanramen.com/
Izakaya Juraku,"121 Ludlow St, New York, NY 10002, USA",(212) 477-0100,hello@izakayajuraku.co hello@izakayajuraku.com,http://www.izakayajuraku.com/
MOGMOG,"5-35 51st Ave, Long Island City, NY 11101, USA",(516) 303-9183,,https://mogmog.store/
All'Antico Vinaio,"225 Sullivan St, New York, NY 10012, USA",(917) 672-2641,info@allanticovinaionyc.com press@allanticovinaiousa.com,https://www.allanticovinaiousa.com/
Luna Rotisserie and Empanadas,"112 W Main St, Durham, NC 27701-3604, USA",(984) 439-8702,infodurham@lunarotisserie.com infocarrboro@lunarotisserie.com,http://www.lunarotisserie.com/
Elsewhere,"599 Johnson Ave #1, Brooklyn, NY 11237-1311, USA",,care@elsewherebrooklyn.com,http://www.elsewherebrooklyn.com/?utm_source=google-my-business&utm_medium=organic
Suki,"208 E 50th St, New York, NY 10022, USA",(917) 613-4567,,http://sukicurry.com/
Bernie’s,"332 Driggs Ave, Brooklyn, NY 11222, USA",(347) 529-6400,info@berniesnyc.com,https://www.berniesnyc.com/
2 Bros Pizza,"557 8th Ave, New York, NY 10018, USA",(646) 916-4541,,https://www.2brospizza.com/
pinkFROG cafe,"221 N 9th St, Brooklyn, NY 11211, USA",(646) 694-0608,,http://pinkfrogcafe.com/
Mr P's Homemade Ice Cream,"1397 Nostrand Ave, Brooklyn, NY 11226, USA",(973) 640-3200,,
Emily,"919 Fulton St, Brooklyn, NY 11238-1735, USA",(347) 844-9588,Hello@EmilyBrooklyn.com,https://www.pizzalovesemily.com/location/brooklyn/
Chalong Southern Thai,"749 9th Ave, New York, NY 10019, USA",(212) 466-6456,CHALONG@CHALONGNYC.COM,http://www.chalongnyc.com/
Appas Pizza,"210 1st Ave, New York, NY 10009, USA",(929) 280-0921,hello@appaspizza.com,https://appaspizza.com/?utm_source=google
LaRina Pastificio & Vino,"387 Myrtle Ave, Brooklyn, NY 11205-2408, USA",(718) 852-0001,larinabrooklyn@gmail.com,http://larinabk.com/
For All Things Good Bed-Stuy,"343 Franklin Ave, Brooklyn, NY 11238, USA",(646) 238-2068,,http://forallthingsgoodbk.com/
Walter's Hot Dogs - Mamaroneck,"937 Palmer Ave, Mamaroneck, NY 10543, USA",(914) 500-5029,info@waltershotdogs.com truck@waltershotdogs.com store@waltershotdogs.com,http://www.waltershotdogs.com/
Plum Southern Kitchen & Bar,"501 Washington St C, Durham, NC 27701-2169, USA",(919) 351-6446,,https://plumdurham.com/
Taiwan Pork Chop House,"3 Doyers St, New York, NY 10013, USA",(212) 791-7007,,https://www.taiwanporkchop.com/
St. Anselm,"355 Metropolitan Ave, Brooklyn, NY 11211, USA",(718) 384-5054,stanselmrestaurant@gmail.com,http://www.stanselm.net/
Kinokuniya New York,"1073 6th Ave, New York, NY 10018, USA",(212) 869-1700,,https://usa.kinokuniya.com/
Trinciti Roti Shop & Restaurant,"111-03 Lefferts Blvd, South Ozone Park, NY 11420, USA",(718) 641-3636,shadow@2x.png,https://trinciti.com/
OKONOMI Brooklyn,"150 Ainslie St, Brooklyn, NY 11211, USA",(929) 295-0480,,https://www.okonomi.us/
cat cafe Mocha Lounge Shibuya Koen-dori Store,"Japan, 〒150-0041 Tokyo, Shibuya, Jinnan, 1-chōme−16−３ Boule Vard, 5F",03-6277-5745,,http://catmocha.jp/shibuyakoendori/
Taiyaki NYC Japanese Ice Cream,"119 Baxter St, New York, NY 10013-3621, USA",(212) 966-2882,info@taiyakinyc.com,http://taiyakinyc.com/
Il Nonno Ristorante,"25-17 Astoria Blvd, Astoria, NY 11102-2939, USA",(347) 808-0087,,
La Mala Mexican Inspired Cocktails,"110 Corcoran St, Durham, NC 27701, USA",(919) 797-0104,Lamalaraleighmanagement@gmail.com,https://lamalamx.com/home/
Sho Nuff Seafood,"1104 Broad St, Durham, NC 27705, USA",(919) 972-9212,shonuff@shonuffseafood.com,http://shonuffseafood.com/
Economy Candy,"108 Rivington St, New York, NY 10002, USA",(212) 254-1531,help@economycandy.com,https://www.economycandy.com/
SALSWEE,"180 5th Ave, New York, NY 10010-5907, USA",,store180@salswee.com info@salswee.com,https://www.salswee.com/
Mala Hot Pot,"35 W 36th St., New York, NY 10018, USA",(646) 582-4049,Kevin@malahotpotnyc.com,https://www.malahotpotnyc.com/
Underground Pizza,"3 Hanover Square #2615, New York, NY 10004, USA",(212) 425-4442,,https://www.undergroundpizzamenu.com/?utm_source=gbp
Robert Is Here Fruit Stand,"19200 SW 344th St, Homestead, FL 33034-2800, USA",(305) 246-1592,Robert_Is_Here_1959_812a16fe-5a7c-4235-80c3-847fc50097c6_200x@2x.png,http://www.robertishere.com/
Housing Works Thrift Shops - West Village,"245 W 10th St, New York, NY 10014, USA",(646) 998-7215,,https://www.housingworks.org/locations/west-village-thrift-shop
Nyonya,"199 Grand St, New York, NY 10013, USA",(212) 334-3669,,https://nyonya.store/
Q noodles,"1026 Ryan Rd, Cary, NC 27511, USA",(919) 468-9958,user@domain.com,https://www.qnoodles.co/
Mtskheta Cafe,"2568 86th St, Brooklyn, NY 11214-4438, USA",(718) 676-1868,,https://www.facebook.com/Mtskheta-Cafe-196702580341113/
Cosme,"35 E 21st St, New York, NY 10010, USA",(315) 512-4131,Presspress@casamata.comEventsprivatedining info@cosmenyc.com,http://www.cosmenyc.com/
Shoo Loong Kan Hotpot Manhattan 小龙坎火锅,"22 E 13th St, New York, NY 10003-4472, USA",(917) 721-2927,info@shooloongkan.us,http://www.shooloongkan.us/
Cucciolo Osteria Durham,"601 W Main St suite c, Durham, NC 27701, USA",(984) 243-8744,,http://www.cucciolodurham.com/
ATOMIX,"104 E 30th St, New York, NY 10016-7392, USA",,info@atomixnyc.com,http://www.atomixnyc.com/
Kaikagetsu NYC,"162 Orchard St, New York, NY 10002, USA",(646) 590-3900,,http://www.kaikagetsunyc.com/
Maiko Matcha Cafe,"133-33 39th Ave, fh21, Flushing, NY 11354, USA",(718) 219-0011,,https://www.matchacafe-maiko.com/eng/
Ubani - Bay Ridge,"8309 3rd Ave, Brooklyn, NY 11209, USA",(718) 333-5363,,https://ubaniny.com/
Boris & Horton,"195 Avenue A, New York, NY 10009, USA",(212) 510-8986,user@domain.com,http://www.borisandhorton.com/
Kemo's Hot Kitchen Bites,"574 Atlantic Ave, Brooklyn, NY 11217, USA",(718) 246-9700,,https://www.kemoshotkitchen.com/
Casa Adela,"66 Loisaida Ave, New York, NY 10009, USA",(212) 473-1882,casa-adela@gmail.com,https://casa-adela.shop/
Everlane,"28 Prince St, New York, NY 10012, USA",(917) 275-7943,,https://everlane.com/
Hungry House - Manhattan,"36 Lexington Ave, New York, NY 10010-3609, USA",(646) 449-8214,,https://orderhungryhouse.com/
Hinatomaru Asakusa main store,"1-chōme-20-10 Asakusa, Taito City, Tokyo 111-0032, Japan",03-5806-4222,,https://tabelog.com/tokyo/A1311/A131102/13075573/table/
CHELI MANHATTAN 浙里,"19 St Marks Pl, New York, NY 10003-7837, USA",(646) 858-1866,cheli.press@gmail.com,http://www.che-li.com/
Mexicocina Mezcaleria,"503 Jackson Ave, Bronx, NY 10455, USA",(347) 498-1055,mexicocinabny@gmail.com,http://mexicocinanyc.com/
Abuqir,"24-19 Steinway St, Astoria, NY 11103, USA",(718) 274-3474,,
Taverna East Village,"228 1st Ave, New York, NY 10009, USA",(212) 432-0011,,https://www.tavernaeastvillage.com/
New world Uyghur Cuisine,"136-20 Roosevelt Ave, Flushing, NY 11354, USA",(646) 920-0889,,https://newworlduyghurcuisine.com/
Sam's Falafel Stand,"100 Cedar St #90, New York, NY 10006, USA",,,
Mama Lee - Williamsburg,"66 Grand St, Brooklyn, NY 11249, USA",(718) 683-9820,mamaleeofficialrestaurant@gmail.com,https://www.mamaleerestaurant.com/
Chef Papa Vietnamese Kitchen,"42-05 162nd St, Flushing, NY 11358-4126, USA",(917) 688-3968,,
Charles Pan-Fried Chicken,"1325 5th Ave, New York, NY 10026, USA",(646) 569-9936,qslobert@charlespanfriedchicken.com,https://www.charlespanfriedchicken.com/
Nenes Taqueria,"660 Degraw St, Brooklyn, NY 11217, USA",(929) 607-4551,,https://nenestaqueria.com/
Morgenstern's BANANAS,"2 Rivington St, New York, NY 10002, USA",(212) 209-7684,,http://www.morgensternsbananas.com/
Voilà Afrique,"Inside Giant Farmers Market, 324 Main St, Hackensack, NJ 07601, USA",(917) 327-3510,voilaafrique@yahoo.com,http://voilaafrique.com/
dùndú,"140 E 41st St, New York, NY 10017-5515, USA",(646) 767-0100,info@eatdundu.com,http://www.eatdundu.com/
Oh! Calcutta,"10-57 Jackson Ave, Long Island City, NY 11101-5718, USA",(718) 532-0017,ohcalcuttanyc@gmail.com,https://ohcalcuttanyc.com/
Kuku Korean Cuisine LIC,"12-09 Jackson Ave, Long Island City, NY 11101-4747, USA",(718) 706-8888,,https://eatkuku.com/
Housing Works Thrift Shops - Chelsea,"143 W 17th St, New York, NY 10011, USA",(718) 838-5050,,https://www.housingworks.org/locations/chelsea-thrift-shop
Taberna Tapas,"325 W Main St, Durham, NC 27701, USA",(919) 797-1457,info@tabernatapas.com,http://tabernatapas.com/
Shanghai You Garden,"135-33 40th Rd, Flushing, NY 11354, USA",(718) 886-2286,,https://www.shanghaiyougardennyc.com/
Durham Food Hall,"530 Foster St Suite 1, Durham, NC 27701, USA",(919) 908-9339,info@durhamfoodhall.com,http://durhamfoodhall.com/
Sushi Sho,"3 E 41st St, New York, NY 10017-6205, USA",(646) 863-2023,,https://www.exploretock.com/sushi-sho-nyc
Seven Scents 七号小串 | Skewers · Beer · Chinese BBQ,"42-17 Crescent St, Long Island City, NY 11101, USA",(917) 397-7779,example@mysite.com,https://www.sevenscentsny.com/
IBN Hamido Seafood,"3129 Ditmars Blvd, Astoria, NY 11105, USA",(718) 535-4700,,http://hamidoseafood.com/
Nami Nori West Village,"33 Carmine St, New York, NY 10014, USA",(646) 998-4588,info@naminori.nyc,http://naminori.nyc/
Ekhaya,"406 Blackwell St Suite 100, Durham, NC 27701, USA",(919) 381-4128,info@zwelis.com,https://zwelisekhaya.com/
Urban Noodle兰州拉面.刀削面.泡菜.肉夹馍.釀皮.炸酱面,"4104 Surles Ct UNIT 4, Durham, NC 27703-8239, USA",(984) 888-0348,,http://www.myurbannoodle.com/
Le Sia,"651 9th Ave, New York, NY 10036, USA",(646) 559-5220,lesiahellskitchen@gmail.com,http://lesianyc.com/
Pig and Khao - LES,"68 Clinton St, New York, NY 10002, USA",(212) 920-4485,info@pigandkhao.com,http://www.pigandkhao.com/
THREE-HOT-POT & BBQ,"18 W 38th St, New York, NY 10018-6230, USA",(646) 692-6666,,https://pos.chowbus.com/online-ordering/store/13868?fbclid=PAAaZv3dcSFvn37VDLQythPBzMImumOMVXp6sJccvfEQ2w2K78xTEkD_b0TLc_aem_th_AV6eEcw_tB1aHa6KzBhYomTzCT123Jc_Wjo9Sk1vY0edZAKTL4WqaHUhgzHOKUYnqvU
Red Rooster Harlem,"310 Lenox Ave, New York, NY 10027, USA",(212) 792-9001,info@redroosterharlem.com dina@redroosterharlem.com,https://www.redroosterharlem.com/
B & B,"165 W 26th St, New York, NY 10001, USA",(646) 429-8174,,
Dim Sum Palace,"27 Division St, New York, NY 10002, USA",(212) 587-4277,,http://www.dimsumpalace.com/
Rio Bonito Grill,"33-01 36th Ave, Astoria, NY 11106, USA",(845) 314-2845,,
Win Son Bakery,"164 Graham Ave, Brooklyn, NY 11206, USA",(917) 909-1725,,http://winsonbrooklyn.com/
Akino,"82-80 Broadway, Elmhurst, NY 11373, USA",(718) 779-8280,,https://www.akinonewyork.com/
Xiang Hotpot-Brooklyn,"5816 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",(718) 851-5888,,https://xianghotpotbrooklyn.shop/
Laghman Express,"2376 Coney Island Ave, Brooklyn, NY 11223-5002, USA",(718) 233-8333,laghmanexpress@gmail.com,http://laghmanexpress.com/
Adel's Famous Halal Food,"1221 6th Ave, New York, NY 10020, USA",(866) 492-3357,adelsfamoushalalfood@gmail.com,http://adelsfamousnyc.com/
Corima,"3 Allen St, New York, NY 10002, USA",(646) 964-4836,info@corimanyc.com,http://www.corimanyc.com/
Pho & Poke House,"2816 Erwin Rd #207, Durham, NC 27705, USA",(919) 382-0805,,http://www.phopokehouse.com/
Hi Sunny Restaurant Salad&Dimsum 花园轻食,"342 7th Ave, New York, NY 10001, USA",(212) 660-9666,,https://www.hisunnyrestaurantny.com/
Kyma,"15 W 18th St, New York, NY 10011, USA",(212) 268-5555,,https://kymarestaurants.com/
Eight Jane,"37-12 Main St, Flushing, NY 11354, USA",(917) 609-5898,,
Blue Corn Cafe,"716 9th St, Durham, NC 27705-4803, USA",(919) 286-9600,,http://www.bluecorncafedurham.com/
Momo Crave,"38-07 69th St, Woodside, NY 11377, USA",(718) 255-1714,momocrave@gmail.com whoisanup@gmail.com,https://momocrave.com/
Liuyishou Hot Pot,"136-76 39th Ave, Flushing, NY 11354, USA",(347) 732-0201,,https://www.liuyishouna.com/flushing
Bigoi Venezia,"1415 2nd Ave, New York, NY 10021-3773, USA",(917) 262-0680,contact@bigoivenezia.com,http://www.bigoivenezia.com/
Ootoya Times Square,"141 W 41st St, New York, NY 10036, USA",(212) 704-0833,,http://ootoya.us/
Sushi 35 West,"232W W 35th St, New York, NY 10001, USA",(646) 882-6666,,http://www.sushi35west.com/
Caravan Chicken,"35-01 Broadway, Astoria, NY 11106, USA",(718) 545-3980,,
Döner Haus,"240 E 14th St, New York, NY 10003, USA",(914) 275-0840,,https://www.doner.haus/
Barkada Social Club,"3305 Broadway, Astoria, NY 11106, USA",(718) 255-6222,support@spoton.com contact@barkadasocialclub.com,https://barkadasocialclub.com/
Sao Mai,"203 1st Ave, New York, NY 10003, USA",(212) 358-8880,,http://saomainyc.com/
Lucia Pizza,"136-55B, 136 - 55 Roosevelt Ave, Flushing, NY 11354-5509, USA",(718) 445-1313,myluciapizza@aol.com,https://www.luciapizzany.com/
Lao Bei Fang Dumpling House,"83-05 Broadway, Elmhurst, NY 11373, USA",(718) 639-3996,,https://northerndumplinghouse.shop/
The Trestle,"34-02 Broadway, Astoria, NY 11106, USA",(347) 808-0290,info@trestleastoria.com,http://trestleastoria.com/
ANDO patisserie,"214 E 10th St, New York, NY 10003, USA",(917) 262-0311,,https://www.andopatisserie-official.com/
S-Meat & Hueso,"35-50 31st St, Astoria, NY 11106-2321, USA",(718) 304-0046,,
Lena's Italian Kitchen (UES),"1167 2nd Ave, New York, NY 10065-8242, USA",(212) 725-5362,,https://www.lenasitaliankitchen.com/
Fat Cat Flatbread,"Foot Court #6, 133-35, Roosevelt Ave, Flushing, NY 11354-5254, USA",(929) 758-8666,,
Gulp,"42-45 27th St, Long Island City, NY 11101, USA",(929) 789-8644,,https://www.gulpjiabun.com/
Bund Dumpling House,"25-08 Broadway, Astoria, NY 11106, USA",(718) 971-5465,,https://order.toasttab.com/online/bunddumplinghouse
Kalye Rivington,"111 Rivington St, New York, NY 10002, USA",(646) 287-9153,info@kalyenyc.com,https://kalye.com/
Zhego NYC,"38-4 61st St, Woodside, NY 11377-5830, USA",(347) 642-3166,,https://www.instagram.com/zhego_nyc_/
Wo Hop,"17 Mott St, New York, NY 10013-5002, USA",(212) 962-8617,,http://wohop17.com/
Little Branch,"20 7th Ave S, New York, NY 10014, USA",(212) 929-4360,,
Industry City,"220 36th St, Brooklyn, NY 11232, USA",(718) 865-3740,,https://industrycity.com/
